date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2022-02-02,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,12199,-2.0,0.5323,0.5607,0.5186,0.0741,0.4581,28.0,28.0,32.0,0.7143,SHIFT,,20
2022-02-03,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2022-02-03,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2022-02-03,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,28765,8.0,0.746,0.7549,0.7054,0.0238,0.7222,22.0,38.0,22.0,1.0,SHIFT,,2
2022-02-03,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,28824,-2.0,0.6471,0.6592,0.6424,0.0357,0.6114,28.0,28.0,32.0,1.0,SHIFT,,20
2022-02-05,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,8783,1.0,0.8319,0.8325,0.8319,0.0027,0.8293,29.0,31.0,29.0,1.0,SHIFT,,14
2022-02-05,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,348,-6.0,0.6309,0.6391,0.6119,0.019,0.6119,24.0,24.0,36.0,0.8571,SHIFT,,15
2022-02-05,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,11679,12.0,0.6039,0.6081,0.5986,0.0004,0.6035,10.0,10.0,18.0,0.4762,SHIFT,,2
2022-02-05,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_submicron,11791,-30.0,0.3607,0.3607,0.3557,0.0002,0.3605,0.0,0.0,13.0,0.6364,SKIP,monotonic_halfwidth_s<5,0
2022-02-15,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18682,6.0,0.9036,0.9043,0.9006,0.0026,0.901,24.0,36.0,24.0,1.0,SHIFT,,14
